time,resistance,current
4.76837158203125e-06,13.827630997,1
0.3805809020996094,13.492041588,1
0.4555685520172119,13.281644821,1
0.5303678512573242,13.137176514,1
0.6051502227783203,13.032749176,1
0.6791226863861084,12.952708244,1
0.7540054321289062,12.887396812,1
0.8284564018249512,12.831196785,1
0.9039096832275391,12.785883904,1
0.9788460731506348,12.744753838,1
1.0560762882232666,12.71159935,1
1.130133867263794,12.681627274,1
1.2046735286712646,12.654130936,1
1.2794756889343262,12.629825592,1
1.3528785705566406,12.607542992,1
1.428396463394165,12.586754799,1
1.5037508010864258,12.568424225,1
1.5783100128173828,12.550420761,1
1.6531882286071777,12.53390789,1
1.728285312652588,12.518408775,1
1.8039424419403076,12.50447464,1
1.8782918453216553,12.491256714,1
1.9511961936950684,12.478079796,1
2.027273178100586,12.465491295,1
2.102745771408081,12.453739166,1
2.179640054702759,12.442519188,1
2.25394606590271,12.432030678,1
2.329106569290161,12.422034264,1
2.404426336288452,12.412427902,1
2.479421854019165,12.40335083,1
2.5540242195129395,12.394750595,1
2.6290369033813477,12.386307716,1
2.701075315475464,12.378065109,1
2.776641368865967,12.369821548,1
2.8514420986175537,12.362099648,1
2.9240922927856445,12.357007027,1
2.9993319511413574,12.350205421,1
3.0749096870422363,12.343438148,1
3.1506283283233643,12.336681366,1
3.225280523300171,12.330124855,1
3.300280809402466,12.323748589,1
3.3766427040100098,12.31755352,1
3.452195405960083,12.311624527,1
3.5276618003845215,12.3055439,1
3.6030590534210205,12.300048828,1
3.6753625869750977,12.294647217,1
3.7470829486846924,12.289274216,1
3.8222875595092773,12.284216881,1
3.8967173099517822,12.279381752,1
3.970824956893921,12.274641037,1
4.043088436126709,12.269981384,1
4.115499496459961,12.26523304,1
4.187113046646118,12.260492325,1
4.25870156288147,12.25584507,1
4.330920219421387,12.251249313,1
4.402679920196533,12.246930122,1
4.475047826766968,12.242583275,1
4.54753041267395,12.238347054,1
4.619155406951904,12.234348297,1
4.692062139511108,12.230279922,1
4.764413356781006,12.226549149,1
4.83605170249939,12.222921371,1
4.908606767654419,12.219380379,1
4.98132586479187,12.215990067,1
5.0532472133636475,12.212491035,1
5.125699520111084,12.20902729,1
5.198672533035278,12.20571804,1
5.272401332855225,12.202512741,1
5.344470739364624,12.199407578,1
5.4186692237854,12.196381569,1
5.490469455718994,12.193380356,1
5.562743663787842,12.190483093,1
5.634416341781616,12.187423706,1
5.70676064491272,12.184483528,1
5.779445171356201,12.181661606,1
5.850944995880127,12.178833008,1
5.923126697540283,12.175956726,1
5.995547771453857,12.173101425,1
6.067324876785278,12.170513153,1
6.14011025428772,12.167838097,1
6.212329387664795,12.165197372,1
6.284843444824219,12.162604332,1
6.357697010040283,12.159974098,1
6.429945945739746,12.157488823,1
6.50165581703186,12.154827118,1
6.5746917724609375,12.152166367,1
6.647656202316284,12.149599075,1
6.719221591949463,12.146969795,1
6.791649580001831,12.144421577,1
6.863748550415039,12.142075539,1
6.935324430465698,12.139662743,1
7.007750749588013,12.137074471,1
7.079331874847412,12.134663582,1
7.151678085327148,12.132310867,1
7.223371982574463,12.129894257,1
7.295795440673828,12.127537727,1
7.368385314941406,12.125200272,1
7.442484617233276,12.122882843,1
7.514251708984375,12.120593071,1
7.586140871047974,12.118326187,1
7.658804655075073,12.11623764,1
7.730422735214233,12.114146233,1
7.802430152893066,12.11211586,1
7.875736713409424,12.109882355,1
7.950587034225464,12.107647896,1
8.02202320098877,12.105636597,1
8.09571886062622,12.103582382,1
8.16833758354187,12.101482391,1
8.241303443908691,12.099607468,1
8.313781023025513,12.097568512,1
8.387285709381104,12.095360756,1
8.4594087600708,12.093290329,1
8.530940294265747,12.091110229,1
8.60501503944397,12.089206696,1
8.676896095275879,12.087428093,1
8.749918699264526,12.085823059,1
