time,resistance,current
4.0531158447265625e-06,14.601066589,1
0.3812906742095947,14.281057358,1
0.4573514461517334,14.097373962,1
0.5311412811279297,13.976161003,1
0.6041111946105957,13.885502815,1
0.6758296489715576,13.816199303,1
0.7475759983062744,13.760227203,1
0.8191258907318115,13.710436821,1
0.8907737731933594,13.668551445,1
0.9650297164916992,13.635101318,1
1.0366706848144531,13.60621357,1
1.1088042259216309,13.580748558,1
1.1816997528076172,13.558343887,1
1.253798484802246,13.538672447,1
1.3265812397003174,13.520485878,1
1.4002478122711182,13.503902435,1
1.4714064598083496,13.488721848,1
1.5442137718200684,13.474696159,1
1.617302656173706,13.461483002,1
1.6927168369293213,13.449246407,1
1.7653021812438965,13.437829018,1
1.8368196487426758,13.426938057,1
1.9082849025726318,13.416565895,1
1.980881929397583,13.406742096,1
2.0524749755859375,13.397525787,1
2.125941514968872,13.388793945,1
2.1977455615997314,13.380583763,1
2.270132303237915,13.372542381,1
2.342090606689453,13.364842415,1
2.4145400524139404,13.357611656,1
2.4862964153289795,13.35080719,1
2.558220386505127,13.344319344,1
2.630546808242798,13.338029861,1
2.7035834789276123,13.331939697,1
2.7758629322052,13.326246262,1
2.847982883453369,13.320631981,1
2.9209463596343994,13.314973831,1
2.9931814670562744,13.309492111,1
3.065885305404663,13.304039955,1
3.1382415294647217,13.29895401,1
3.212186336517334,13.293808937,1
3.2844064235687256,13.288837433,1
3.3567142486572266,13.284002304,1
3.4308865070343018,13.279420853,1
3.5030999183654785,13.274990082,1
3.574970006942749,13.270597458,1
3.6476166248321533,13.266292572,1
3.71994686126709,13.262413025,1
3.7921204566955566,13.258458138,1
3.8649537563323975,13.254654884,1
3.937079429626465,13.250743866,1
4.008444786071777,13.247171402,1
4.080779075622559,13.243811607,1
4.152853965759277,13.240372658,1
4.224486827850342,13.236904144,1
4.297191143035889,13.233562469,1
4.369916677474976,13.230204582,1
4.441894054412842,13.226777077,1
4.514551162719727,13.223636627,1
4.586091041564941,13.220415115,1
4.658242702484131,13.217558861,1
4.730626344680786,13.214634895,1
4.8029773235321045,13.211824417,1
4.875118970870972,13.209026337,1
4.9467549324035645,13.206367493,1
5.018305540084839,13.203694344,1
5.089830160140991,13.200997353,1
5.161957740783691,13.198352814,1
5.23429274559021,13.195703506,1
5.3073952198028564,13.193053246,1
5.379367113113403,13.190355301,1
5.451653003692627,13.18775177,1
5.524197340011597,13.185320854,1
5.59632682800293,13.182909966,1
5.667929172515869,13.180606842,1
5.740431308746338,13.178316116,1
5.812763929367065,13.176241875,1
5.885023832321167,13.174211502,1
5.959705352783203,13.171982765,1
6.032649517059326,13.169686317,1
6.104944229125977,13.167618752,1
6.176364183425903,13.165631294,1
6.248286485671997,13.163624763,1
6.319976091384888,13.161540985,1
6.3954551219940186,13.159574509,1
6.467690467834473,13.157475471,1
6.539241075515747,13.155487061,1
6.611422538757324,13.153492928,1
6.68305230140686,13.151618004,1
6.755375623703003,13.149571419,1
6.827141046524048,13.147596359,1
6.900095701217651,13.145648003,1
6.973378658294678,13.143832207,1
7.04531455039978,13.142072678,1
7.117537975311279,13.140129089,1
7.189230680465698,13.138097763,1
7.261004447937012,13.136440277,1
7.333179235458374,13.134796143,1
7.4064414501190186,13.133105278,1
7.479955434799194,13.131422997,1
7.5551629066467285,13.129605293,1
7.628086805343628,13.128011703,1
7.699831962585449,13.126244545,1
7.77147102355957,13.124632835,1
7.843367576599121,13.123031616,1
7.915339708328247,13.121593475,1
7.987172842025757,13.11985302,1
8.059622287750244,13.118049622,1
8.131462097167969,13.116088867,1
8.20546841621399,13.11420536,1
8.277739524841309,13.112469673,1
8.349695205688477,13.111034393,1
8.422856092453003,13.109653473,1
8.496206283569336,13.108250618,1
8.572601318359375,13.106513023,1
8.649519205093384,13.105174065,1
8.721348762512207,13.103808403,1
8.793780088424683,13.102475166,1
8.866315364837646,13.101137161,1
8.938037395477295,13.099999428,1
