time,resistance
4.77E-06,13.84144556
0.381177902,13.5160428
0.45383215,13.32281476
0.525856256,13.19331215
0.599240303,13.09818086
0.671250105,13.02582968
0.743176699,12.96854201
0.815136909,12.92177019
0.888737202,12.88040979
0.962201357,12.84562429
1.034540176,12.8147543
1.107372522,12.78781164
1.181333065,12.76383536
1.254167557,12.74265925
1.332799911,12.72256125
1.405293226,12.70516441
1.47802639,12.68920808
1.5500772,12.67409279
1.62205863,12.66053154
1.694839001,12.64758973
1.76803422,12.63533728
1.840089798,12.62387957
1.914114714,12.61304674
1.987172842,12.6028288
2.059607744,12.59316944
2.132148266,12.58383796
2.205157757,12.57480076
2.277146101,12.56656283
2.349127531,12.55866369
2.421077013,12.55100523
2.495069027,12.54355476
2.568533897,12.53642218
2.640658617,12.52978189
2.716749191,12.52299808
2.788862944,12.51706714
2.861945152,12.51093002
2.937204838,12.50508535
3.00910449,12.49963942
3.08133173,12.49434971
3.153939962,12.4891045
3.226419926,12.48400643
3.298076153,12.47923806
3.370045662,12.47440247
3.442331314,12.46970495
3.515630484,12.46531804
3.587915421,12.46103468
3.659967661,12.45693388
3.732022762,12.45282945
3.804225683,12.44843528
3.877595901,12.44432903
3.950155735,12.44045076
4.02201128,12.43673688
4.094016075,12.43305933
4.167535305,12.42918196
4.247128725,12.42568152
4.319145441,12.42228735
4.394184589,12.41888228
4.468313932,12.41570791
4.540401936,12.41256351
4.612968922,12.40948359
4.685407877,12.40651539
4.757480145,12.40365891
4.830190659,12.40051905
4.902793646,12.39744186
4.975567818,12.39443461
5.048416138,12.39143644
5.121079683,12.38858178
5.193475246,12.38604409
5.265387058,12.38343829
5.339315653,12.38067809
5.41189909,12.37816584
5.48364687,12.37552643
5.555588007,12.37307866
5.627742529,12.37062091
5.70046401,12.36812682
5.772715807,12.36538932
5.85460639,12.36320132
5.927147627,12.36081895
5.999743223,12.35846202
6.072299242,12.35626856
6.145097256,12.35402879
6.21852231,12.35183171
6.291452169,12.34936669
6.367795229,12.34717596
6.440599918,12.34498614
6.513721466,12.34293983
6.586320877,12.34090623
6.658283234,12.33880724
6.730255842,12.33681361
6.802652359,12.33480635
6.875287533,12.33279001
6.948073387,12.33104615
7.021160603,12.32919057
7.096344471,12.32734408
7.169106722,12.32561293
7.242466927,12.32384364
7.3153162,12.3219599
7.387813807,12.32003802
7.461199522,12.31828962
7.533084154,12.31652214
7.605493307,12.31493178
7.678759575,12.31324786
7.750881672,12.31154578
7.823187351,12.30983825
7.895917177,12.30831328
7.968747139,12.30660393
8.041549206,12.30513618
8.115348339,12.30339141
8.190139294,12.30205718
8.262622356,12.30041413
8.335020542,12.29867299
8.408969879,12.29708717
8.48100853,12.29566211
8.553149939,12.29419072
8.625258684,12.29274114
8.697845936,12.2912861
8.770344734,12.28982835
8.842694044,12.28831791
8.915807009,12.28695461
8.988482237,12.2854914
9.061057806,12.2841617
9.133314371,12.28283746
9.20536685,12.28139514
9.278025627,12.27998824
9.350098372,12.27871759
9.421937704,12.2772353
9.493927956,12.27579571
9.565825939,12.27461315
9.638185024,12.27327438
9.710916996,12.27195921
9.783555508,12.27063679
9.856006622,12.26924533
9.951151371,12.26764406
10.02411366,12.26626714
10.09648633,12.26500829
10.16889811,12.26387478
10.24118638,12.26266316
10.31383038,12.26136616
10.38569641,12.26000105
10.45796132,12.25879669
10.53070402,12.25754874
10.60308957,12.25628989
10.67615342,12.2551037
10.74977112,12.25391842
10.82443666,12.25266774
10.89686966,12.25157511
10.9732554,12.25041617
11.04679632,12.24935078
11.11949801,12.24821908
11.19250274,12.24729629
11.26555514,12.24633626
11.33842874,12.24528267
11.41089559,12.24429721
11.48293805,12.24313736
11.55526423,12.24197297
11.62830377,12.24067143
11.70137858,12.23935808
11.77371287,12.23812285
11.84601092,12.2368531
11.91835117,12.23563421
11.99204016,12.23446437
12.0650754,12.23343168
12.13739252,12.2323781
12.21035337,12.23136084
12.28309679,12.23031816
12.35533333,12.22914287
12.44021463,12.22801208
12.5128696,12.22707022
12.58491874,12.22602481
12.65786982,12.22503844
12.73035598,12.22410293
12.80253744,12.22316197
12.87573123,12.22221284
12.9478879,12.22146352
13.01984978,12.22055254
13.09277487,12.21965336
13.16545773,12.21874146
13.23752046,12.21793583
13.31010365,12.21701395
13.38213491,12.21612839
13.45504427,12.21531641
13.52687001,12.21435184
13.60002756,12.21340815
13.6718967,12.2125444
13.74491191,12.21142542
13.8181293,12.21055076
13.89289451,12.20952352
13.96554875,12.20854078
14.03803635,12.20743361
14.110075,12.206509
14.18255568,12.20574243
14.2545929,12.20477604
14.32650924,12.20387777
14.39892149,12.20316024
14.47220898,12.20240638
14.54600453,12.20156261
14.61928105,12.2008033
14.69115639,12.20002129
14.7665627,12.19915481
14.83843112,12.19844546
14.91233993,12.19750086
14.98592615,12.19664074
15.0576396,12.1958115
15.13038611,12.19505038
15.20230198,12.19422567
15.27557111,12.19341641
15.34826183,12.1926008
15.42095637,12.19187055
15.49350858,12.19106129
15.56550217,12.19032742
15.63754869,12.18945004
15.71000886,12.18863896
15.78234625,12.18781153
15.85434031,12.18717848
15.92642879,12.18642553
15.9986918,12.18558902
16.07051182,12.18485514
16.14273071,12.18418212
16.21587467,12.18349275
16.28927612,12.18287059
16.3622601,12.18214852
16.43482685,12.18137832
16.50688672,12.18066624
16.58015871,12.17995235
16.65253353,12.17923755
16.72462368,12.17853183
16.79799914,12.17790059
16.87142015,12.17757815
16.94387841,12.17700141
17.01584601,12.17641467
17.08765578,12.17575709
17.15943623,12.17498144
17.23175764,12.17423484
17.30384088,12.17354729
17.37721038,12.17304775
17.44995236,12.17251641
17.52336574,12.17193876
17.59608746,12.17124303
17.66823196,12.17045103
17.74064875,12.16966266
17.81281257,12.16903777
17.88455677,12.16841834
17.9571116,12.16770172
18.03049731,12.16717856
18.10302424,12.16653642
18.17534924,12.16601054
18.2471602,12.16574714
18.31890202,12.16542289
18.3908236,12.16507775
18.46253991,12.16463634
18.53458858,12.16415496
18.60633326,12.16363725
18.67872524,12.16320129
18.75174642,12.16270719
18.8236711,12.1622131
18.89939237,12.161818
18.97272444,12.16133753
19.0459013,12.16081619
19.12232137,12.16022491
19.20236969,12.15966633
19.27567101,12.15911411
19.34908676,12.15855644
19.42351985,12.1580569
19.49872661,12.15758278
19.57157755,12.15719132
19.64359093,12.15667634
19.71603012,12.15620041
19.78883243,12.15590432
19.86073875,12.15557462
19.93284249,12.15519315
20.00617909,12.1547808
20.07833219,12.15438934
20.15151501,12.15410323
20.22352505,12.15366818
20.29630971,12.15322222
20.37189507,12.15285528
20.44400454,12.15243112
20.51617408,12.15208508
20.58901978,12.15169362
20.66107345,12.15132668
20.733881,12.15091705
20.8071661,12.15053649
20.87936997,12.15013867
20.95130587,12.14974267
21.02318668,12.1493167
21.0952425,12.14893523
21.16733837,12.14840934
21.23924685,12.14804422
21.31157827,12.14768728
21.38356519,12.14739936
21.45663762,12.14702243
21.53004932,12.14662643
21.6022141,12.14622316
21.67494082,12.1458644
21.74810958,12.14549473
21.82179451,12.14510781
21.89493465,12.14469637
21.96701503,12.1443367
22.03972769,12.14392526
22.11248446,12.14362099
22.18453789,12.14328221
22.25652695,12.14290437
22.32858872,12.14263462
22.40075064,12.14234034
22.47302198,12.1419952
22.54542518,12.14169184
22.61746478,12.14126042
22.69075203,12.14098612
22.76289248,12.14064734
22.83562088,12.14024317
22.90810227,12.14005606
22.98118043,12.13976451
23.0543015,12.13952473
23.12643313,12.13921047
23.2021718,12.13887896
23.27530932,12.13854835
23.34708095,12.13832946
23.42058945,12.13800339
23.49284792,12.13773273
23.56457949,12.13750294
23.63678026,12.13721412
23.71005917,12.13696525
23.7860775,12.13668732
23.85790992,12.13642211
23.92989874,12.13612511
24.00331283,12.13579814
24.07768345,12.1356292
24.1494472,12.13539396
24.22130585,12.13517961
24.29354143,12.13493892
24.3659811,12.13471821
24.43904853,12.1343213
24.51104999,12.13417689
24.58280802,12.1339253
24.6555562,12.13353021
24.73945451,12.13329951
24.81206775,12.13305791
24.88400888,12.1327818
24.95721126,12.13268371
25.02923656,12.13248843
25.1017406,12.13225683
25.1751411,12.13200978
25.25159693,12.13170369
25.32486868,12.13156927
25.39707065,12.13150206
25.4702487,12.13120052
25.54240918,12.13114421
25.61461067,12.13098435
25.6878829,12.13082722
25.7608881,12.13061015
25.83288503,12.13056655
25.90625405,12.13045211
25.97934222,12.13030861
26.05135632,12.13025048
26.12451768,12.13005702
26.19705272,12.1299017
26.26981926,12.12975184
26.34244108,12.12960016
26.41450739,12.12960652
26.48820972,12.12957382
26.56054401,12.12936856
26.63253903,12.1291315
26.70590758,12.12903068
26.7787683,12.12878999
26.85362625,12.12871824
26.92554498,12.12843668
26.99809551,12.1283295
27.07559967,12.12827047
27.14767051,12.12808972
27.22033048,12.12802705
27.29284453,12.1280107
27.36494899,12.1279117
27.4373939,12.12788536
27.51055455,12.12781543
27.58288574,12.12775094
27.65622854,12.12778636
27.72950482,12.12806792
27.80208874,12.12792714
27.87467098,12.12775457
27.94815302,12.12752297
28.02124286,12.12743305
28.0959053,12.12724958
